Albury	1.9129192959149706
BadgerysCreek	2.1694672131147446
Cobar	1.126238286479249
CoffsHarbour	5.032339993227242
Moree	1.567904695164679
Newcastle	3.1252791878172634
NorahHead	3.335131444178903
NorfolkIsland	3.116396761133598
Penrith	2.0969635627530234
Richmond	2.119756014910188
Sydney	3.3242433323344254
SydneyAirport	2.9913477537437636
WaggaWagga	1.6957661290322537
Williamtown	3.2675675675675584
Wollongong	3.540998994301042
Canberra	1.7269163253364461
Tuggeranong	2.130953969312872
MountGinini	3.1436532507739883
Ballarat	1.6826948480845332
Bendigo	1.6193144363875964
Sale	1.508633333333325
MelbourneAirport	1.4519774011299402
Melbourne	1.7343737166324416
Mildura	0.944396408380446
Nhil	0.9305289993626544
Portland	2.5208945260347027
Watsonia	1.8421473824608146
Dartmoor	2.145633707101584
Brisbane	3.131540651692507
Cairns	5.7190093708166145
GoldCoast	3.6588590604026954
Townsville	3.4817012858555887
Adelaide	1.5365695792880247
MountGambier	2.0818481848184676
Nuriootpa	1.3786142571618891
Woomera	0.48896321070234205
Albany	2.2401193633952188
Witchcliffe	2.8721544715447105
PearceRAAF	1.5657132512671954
PerthAirport	1.7616483881688256
Perth	1.9062950203570268
SalmonGums	1.0274111675126885
Walpole	2.8273146505853037
Hobart	1.6017565872020014
Launceston	2.006902245706733
AliceSprings	0.8676344440778622
Darwin	5.094047619047625
Katherine	3.1074406670942905
Uluru	0.6984878369493757
